,Alabama_L_prob,Alabama_U_prob,Alabama_I_prob,Arizona_L_prob,Arizona_U_prob,Arizona_I_prob,Arkansas_L_prob,Arkansas_U_prob,Arkansas_I_prob,California_L_prob,California_U_prob,California_I_prob,Colorado_L_prob,Colorado_U_prob,Colorado_I_prob,Connecticut_L_prob,Connecticut_U_prob,Connecticut_I_prob,Delaware_L_prob,Delaware_U_prob,Delaware_I_prob,District of Columbia_L_prob,District of Columbia_U_prob,District of Columbia_I_prob,Florida_L_prob,Florida_U_prob,Florida_I_prob,Georgia_L_prob,Georgia_U_prob,Georgia_I_prob,Idaho_L_prob,Idaho_U_prob,Idaho_I_prob,Illinois_L_prob,Illinois_U_prob,Illinois_I_prob,Indiana_L_prob,Indiana_U_prob,Indiana_I_prob,Iowa_L_prob,Iowa_U_prob,Iowa_I_prob,Kansas_L_prob,Kansas_U_prob,Kansas_I_prob,Kentucky_L_prob,Kentucky_U_prob,Kentucky_I_prob,Louisiana_L_prob,Louisiana_U_prob,Louisiana_I_prob,Maryland_L_prob,Maryland_U_prob,Maryland_I_prob,Massachusetts_L_prob,Massachusetts_U_prob,Massachusetts_I_prob,Michigan_L_prob,Michigan_U_prob,Michigan_I_prob,Minnesota_L_prob,Minnesota_U_prob,Minnesota_I_prob,Mississippi_L_prob,Mississippi_U_prob,Mississippi_I_prob,Nevada_L_prob,Nevada_U_prob,Nevada_I_prob,New Hampshire_L_prob,New Hampshire_U_prob,New Hampshire_I_prob,New Jersey_L_prob,New Jersey_U_prob,New Jersey_I_prob,New Mexico_L_prob,New Mexico_U_prob,New Mexico_I_prob,New York_L_prob,New York_U_prob,New York_I_prob,North Carolina_L_prob,North Carolina_U_prob,North Carolina_I_prob,Ohio_L_prob,Ohio_U_prob,Ohio_I_prob,Oklahoma_L_prob,Oklahoma_U_prob,Oklahoma_I_prob,Oregon_L_prob,Oregon_U_prob,Oregon_I_prob,Pennsylvania_L_prob,Pennsylvania_U_prob,Pennsylvania_I_prob,Rhode Island_L_prob,Rhode Island_U_prob,Rhode Island_I_prob,South Carolina_L_prob,South Carolina_U_prob,South Carolina_I_prob,Texas_L_prob,Texas_U_prob,Texas_I_prob,Utah_L_prob,Utah_U_prob,Utah_I_prob,Virginia_L_prob,Virginia_U_prob,Virginia_I_prob,Washington_L_prob,Washington_U_prob,Washington_I_prob,Wisconsin_L_prob,Wisconsin_U_prob,Wisconsin_I_prob
1,0.938875453,0.054025812,0.007098735,0.92107053,0.07440562,0.00452385,0.938875453,0.0580795,0.003045048,0.890863404,0.102712528,0.006424068,0.92107053,0.063051299,0.015878171,0.92107053,0.031027704,0.047901766,0.92107053,0.065390276,0.013539194,0.922716008,0.048450243,0.02883375,0.94619745,0.043832204,0.009970346,0.92107053,0.061860049,0.01706942,0.938875453,0.048802301,0.012322246,0.930897038,0.048756077,0.020346885,0.938875453,0.045463952,0.015660595,0.938875453,0.056354307,0.004770241,0.92107053,0.074176128,0.004753342,0.92107053,0.078821152,0.000108318,0.92107053,0.039464735,0.039464735,0.941789963,0.045526055,0.012683981,0.890496423,0.068453718,0.041049859,0.866807671,0.102314993,0.030877336,0.92107053,0.076938202,0.001991268,0.938875453,0.040749698,0.020374849,0.92107053,0.068652022,0.010277448,0.92107053,0.07122454,0.007704929,0.92107053,0,0.07892947,0.92107053,0.074962346,0.003967123,0.86786068,0,0.13213932,0.92107053,0.075189163,0.003740307,0.92107053,0.072846887,0.006082583,0.938875453,0.051141719,0.009982828,0.92107053,0.076268062,0.002661408,0.889019833,0.088726315,0.022253853,0.92107053,0.051606735,0.027322735,0.92107053,0.072166257,0.006763213,0.938200991,0.057576912,0.004222097,0.938875453,0.056405466,0.004719081,0.92107053,0.072591527,0.006337943,0.92107053,0.069072131,0.009857339,0.92107053,0.072000278,0.006929192
2,0.926622531,0.06357374,0.009803729,0.908817609,0.08518236,0.006000031,0.926622531,0.069162019,0.00421545,0.878610483,0.112063206,0.009326311,0.908817609,0.070259263,0.020923128,0.908817609,0.029201446,0.061980945,0.926622531,0.055052189,0.018325279,0.910463087,0.058316104,0.03122081,0.933944528,0.051646297,0.014409175,0.908817609,0.068704815,0.022477576,0.926622531,0.05641215,0.016965319,0.918644117,0.055689002,0.025666881,0.926622531,0.051858278,0.02151919,0.926622531,0.066780452,0.006597017,0.908817609,0.08487881,0.006303581,0.926622531,0.073229702,0.000147767,0.908817609,0.045591196,0.045591196,0.929537042,0.055460278,0.01500268,0.878243501,0.071396173,0.050360326,0.854554749,0.107515024,0.037930226,0.908817609,0.088537519,0.002644872,0.926622531,0.048918313,0.024459156,0.908817609,0.077596088,0.013586303,0.908817609,0.080981842,0.010200549,0.908817609,0,0.091182391,0.908817609,0.085919075,0.005263316,0.855607759,0,0.144392241,0.908817609,0.086219356,0.004963035,0.908817609,0.083122188,0.008060203,0.926622531,0.059614095,0.013763374,0.908817609,0.087648772,0.003533619,0.876766911,0.095256239,0.02797685,0.908817609,0.055412739,0.035769652,0.908817609,0.082223755,0.008958636,0.92594807,0.068004101,0.006047829,0.926622531,0.066851005,0.006526463,0.908817609,0.08278503,0.008397361,0.908817609,0.078148322,0.013034069,0.908817609,0.082004768,0.009177623
3,0.904524686,0.084299622,0.011175692,0.886719763,0.106714111,0.006566126,0.904524686,0.090650464,0.00482485,0.856512637,0.132291064,0.011196299,0.886719763,0.09062538,0.022654856,0.886719763,0.048115861,0.065164376,0.904524686,0.074715886,0.020759428,0.888365241,0.084081051,0.027553708,0.911846683,0.070962116,0.017191201,0.886719763,0.088969277,0.02431096,0.904524686,0.076235908,0.019239406,0.896546271,0.076915388,0.026538341,0.904524686,0.07115208,0.024323234,0.904524686,0.087937611,0.007537703,0.904524686,0.088400035,0.007075279,0.904524686,0.095305687,0.000169627,0.886719763,0.007024303,0.106255933,0.907439197,0.078008795,0.014552009,0.856145656,0.093552853,0.050301491,0.832456904,0.129493156,0.03804994,0.886719763,0.110378903,0.002901333,0.904524686,0.063650209,0.031825105,0.886719763,0.098492237,0.014788,0.886719763,0.10215063,0.011129607,0.886719763,0,0.113280237,0.886719763,0.107517312,0.005762925,0.833509913,0.0408347,0.125655387,0.886719763,0.107844935,0.005435302,0.886719763,0.104472497,0.00880774,0.904524686,0.079830789,0.015644525,0.886719763,0.10940643,0.003873807,0.854669066,0.116521932,0.028809003,0.886719763,0.074959016,0.03832122,0.886719763,0.103497003,0.009783234,0.903850224,0.088982411,0.007167364,0.904524686,0.088017845,0.007457469,0.886719763,0.104106272,0.009173964,0.886719763,0.099087728,0.014192509,0.886719763,0.103259423,0.010020814
4,0.893298445,0.095054513,0.011647042,0.875493523,0.117933916,0.006572561,0.90862182,0.086074287,0.005303892,0.845286397,0.142415206,0.012298398,0.875493523,0.102161933,0.022344545,0.875493523,0.062757079,0.061749398,0.893298445,0.085257568,0.021443987,0.877139,0.100785923,0.022075076,0.918425365,0.062361492,0.019213143,0.875493523,0.100565211,0.023941266,0.90862182,0.070516657,0.020861522,0.885320031,0.089721435,0.024958534,0.893298445,0.081656538,0.025045017,0.893298445,0.098819824,0.007881731,0.893298445,0.099301158,0.007400397,0.893298445,0.106522994,0.00017856,0.875493523,0.027799292,0.096707185,0.896212956,0.090925651,0.012861392,0.844919415,0.109637249,0.045443336,0.821230663,0.144150116,0.034619221,0.875493523,0.12159259,0.002913887,0.893298445,0.07113437,0.035567185,0.875493523,0.10981495,0.014691528,0.875493523,0.113412326,0.011094151,0.875493523,0,0.124506477,0.875493523,0.118733678,0.005772799,0.822283672,0.084452581,0.093263747,0.875493523,0.119060236,0.005446241,0.875493523,0.115708131,0.008798346,0.893298445,0.090463731,0.016237824,0.875493523,0.120619349,0.003887128,0.843442825,0.129588683,0.026968491,0.875493523,0.087257098,0.037249379,0.875493523,0.114742388,0.009764089,0.892623984,0.099596944,0.007779072,0.893298445,0.098903149,0.007798405,0.875493523,0.115345364,0.009161113,0.875493523,0.110398846,0.014107631,0.875493523,0.114507446,0.009999031
5,0.898931951,0.089443022,0.011625028,0.865803653,0.128180612,0.006015734,0.898931951,0.095545548,0.005522501,0.835596527,0.152062862,0.012340611,0.865803653,0.114107995,0.020088352,0.865803653,0.081255137,0.05294121,0.883608576,0.096198132,0.020193293,0.867449131,0.116422792,0.016128077,0.908735495,0.071320849,0.019943656,0.865803653,0.112712172,0.021484175,0.898931951,0.079726935,0.021341114,0.875630161,0.102982287,0.021387553,0.883608576,0.092900703,0.023490722,0.883608576,0.108856288,0.007535137,0.883608576,0.10931356,0.007077864,0.883608576,0.116219277,0.000172147,0.865803653,0.055035437,0.07916091,0.886523086,0.103098296,0.010378618,0.835229545,0.127488289,0.037282166,0.811540794,0.159803792,0.028655414,0.865803653,0.131518418,0.002677929,0.898931951,0.067378699,0.03368935,0.865803653,0.120872031,0.013324316,0.865803653,0.124093558,0.010102789,0.865803653,0.026372867,0.10782348,0.865803653,0.128907891,0.005288456,0.812593803,0.124728613,0.062677584,0.865803653,0.12920523,0.004991117,0.865803653,0.12616347,0.008032876,0.883608576,0.101010241,0.015381183,0.865803653,0.130627854,0.003568493,0.833752955,0.14325217,0.022994875,0.865803653,0.101287814,0.032908533,0.865803653,0.125291427,0.00890492,0.900739037,0.091341153,0.00791981,0.898931951,0.093250006,0.007818043,0.865803653,0.125835675,0.008360672,0.865803653,0.121393102,0.012803245,0.865803653,0.12507957,0.009116777
6,0.891317773,0.097603547,0.01107868,0.858189476,0.136736256,0.005074268,0.891317773,0.103372583,0.005309643,0.82798235,0.160605403,0.011412247,0.858189476,0.125207928,0.016602596,0.858189476,0.100302635,0.041507889,0.875994398,0.106518175,0.017487427,0.859834953,0.129346953,0.010818094,0.901121318,0.079823518,0.019055164,0.858189476,0.124091264,0.01771926,0.891317773,0.088594895,0.020087331,0.868015984,0.115145007,0.016839009,0.891317773,0.087470516,0.02121171,0.891317773,0.101719202,0.006963025,0.875994398,0.117764304,0.006241298,0.875994398,0.123852374,0.000153227,0.858189476,0.082760695,0.059049829,0.878908909,0.113390339,0.007700752,0.827615368,0.144346074,0.028038558,0.803926616,0.174306027,0.021767357,0.858189476,0.139541092,0.002269432,0.891317773,0.072454818,0.036227409,0.858189476,0.130688321,0.011122203,0.858189476,0.133338194,0.008472331,0.858189476,0.066790853,0.075019671,0.858189476,0.137345141,0.004465383,0.804979626,0.156418084,0.03860229,0.858189476,0.13759444,0.004216084,0.858189476,0.135054126,0.006756398,0.875994398,0.110594352,0.01341125,0.858189476,0.138790135,0.003020389,0.826138778,0.1558515,0.018009722,0.858189476,0.115140352,0.026670172,0.858189476,0.134329948,0.007480576,0.893124859,0.099294066,0.007581075,0.891317773,0.101191939,0.007490288,0.858189476,0.134781697,0.007028827,0.858189476,0.131115207,0.010695317,0.858189476,0.134154292,0.007656232
7,0.887497138,0.101847037,0.010655825,0.854368841,0.141307064,0.004324096,0.887497138,0.10734172,0.005161142,0.841966637,0.147111661,0.010921702,0.872173763,0.113656307,0.014169929,0.854368841,0.113061357,0.032569802,0.887497138,0.096524807,0.015978054,0.856014318,0.136674664,0.007311017,0.897300683,0.084366565,0.018332752,0.872173763,0.112739873,0.015086364,0.887497138,0.093470674,0.019032187,0.864195349,0.122454171,0.013350481,0.887497138,0.092525075,0.019977786,0.887497138,0.105761247,0.006741615,0.872173763,0.122266291,0.005559946,0.872173763,0.127688223,0.000138013,0.854368841,0.101742469,0.04388869,0.892893197,0.101195315,0.005911489,0.823794733,0.155031155,0.021174112,0.800105981,0.18326519,0.016628829,0.854368841,0.143686727,0.001944432,0.887497138,0.075001908,0.037500954,0.854368841,0.136266631,0.009364528,0.854368841,0.138459582,0.007171577,0.854368841,0.093831053,0.051800106,0.854368841,0.14182142,0.003809739,0.801158991,0.175037732,0.023803277,0.854368841,0.142032375,0.003598784,0.854368841,0.139892574,0.005738585,0.887497138,0.100147889,0.012354972,0.854368841,0.143047041,0.002584118,0.822318143,0.163482254,0.014199603,0.854368841,0.123917145,0.021714014,0.854368841,0.139286577,0.006344582,0.889304224,0.103364111,0.007331665,0.887497138,0.105252396,0.007250465,0.854368841,0.139664393,0.005966766,0.854368841,0.136618253,0.009012906,0.854368841,0.139139856,0.006491303
8,0.883672705,0.105616912,0.010710383,0.850544407,0.145592118,0.003863474,0.883672705,0.111075128,0.005252167,0.838142204,0.150722907,0.01113489,0.86834933,0.118761386,0.012889284,0.850544407,0.122901203,0.02655439,0.883672705,0.100533644,0.015793651,0.852189885,0.142626138,0.005183978,0.893476249,0.088140615,0.018383136,0.86834933,0.117965371,0.013685299,0.883672705,0.097534632,0.018792663,0.860370915,0.128558221,0.011070864,0.883672705,0.096726393,0.019600902,0.883672705,0.109497566,0.006829729,0.883672705,0.110887337,0.005439958,0.883672705,0.116190464,0.000136832,0.850544407,0.115697064,0.033758529,0.889068763,0.106072368,0.004858869,0.8199703,0.163345463,0.016684237,0.796281548,0.190443375,0.013275078,0.850544407,0.147707554,0.001748038,0.883672705,0.07755153,0.038775765,0.850544407,0.141201716,0.008253877,0.850544407,0.143096408,0.006359185,0.850544407,0.112573305,0.036882288,0.850544407,0.146047102,0.003408491,0.797334557,0.187377794,0.015287649,0.850544407,0.146234069,0.003221524,0.850544407,0.144347442,0.005108151,0.883672705,0.103997457,0.012329839,0.850544407,0.147136287,0.002319306,0.81849371,0.169799414,0.011706877,0.850544407,0.131020994,0.018434599,0.850544407,0.143817162,0.00563843,0.885479791,0.107102301,0.007417908,0.883672705,0.10898484,0.007342455,0.850544407,0.144147561,0.005308031,0.850544407,0.141503876,0.007951717,0.850544407,0.143689045,0.005766548
9,0.890860619,0.099066878,0.010072503,0.857732321,0.139031073,0.003236606,0.890860619,0.104134499,0.005004883,0.845330117,0.144050521,0.010619362,0.875537244,0.113480605,0.010982151,0.857732321,0.121968355,0.020299323,0.890860619,0.09453934,0.014600041,0.859377799,0.137166209,0.003455993,0.900664163,0.082112463,0.017223374,0.875537244,0.112834788,0.011627969,0.890860619,0.091797941,0.017341441,0.867558829,0.123829461,0.00861171,0.890860619,0.091164931,0.01797445,0.890860619,0.10266162,0.006477762,0.890860619,0.103971715,0.005167666,0.890860619,0.109007552,0.00013183,0.875537244,0.099525054,0.024937703,0.896256677,0.0999954,0.003747923,0.827158213,0.160498833,0.012342954,0.803469462,0.186583028,0.00994751,0.857732321,0.140794006,0.001473673,0.890860619,0.072759587,0.036379794,0.857732321,0.135448206,0.006819473,0.857732321,0.13698138,0.005286299,0.857732321,0.117515311,0.024752368,0.857732321,0.139408305,0.002859374,0.804522471,0.186196366,0.009281163,0.857732321,0.139563631,0.002704047,0.857732321,0.138004655,0.004263023,0.890860619,0.097627045,0.011512336,0.857732321,0.140315687,0.001951992,0.825681623,0.165263955,0.009054422,0.857732321,0.127600235,0.014667444,0.857732321,0.137569876,0.004697803,0.892667705,0.100306738,0.007025558,0.890860619,0.102178754,0.006960627,0.857732321,0.137840594,0.004427085,0.857732321,0.135691341,0.006576338,0.857732321,0.13746506,0.004802619
10,0.911417983,0.078856221,0.009725796,0.857675974,0.139767361,0.002556665,0.911417983,0.083675627,0.004906391,0.84527377,0.145165452,0.009560778,0.875480896,0.11569765,0.008821454,0.875480896,0.109557311,0.014961793,0.890804271,0.096465731,0.012729997,0.859321451,0.138513441,0.002165107,0.900607816,0.084179939,0.015212246,0.875480896,0.115205569,0.009313535,0.911417983,0.072197873,0.016384144,0.867502481,0.126188365,0.006309154,0.890804271,0.093659319,0.015536409,0.890804271,0.103392166,0.005803563,0.890804271,0.10455729,0.004638439,0.890804271,0.109075599,0.00012013,0.875480896,0.106827296,0.017691808,0.911523705,0.085623309,0.002852986,0.827101866,0.164298552,0.008599582,0.803413114,0.189567868,0.007019018,0.857675974,0.141152317,0.00117171,0.890804271,0.072797153,0.036398576,0.857675974,0.137013519,0.005310507,0.857675974,0.138181469,0.004142557,0.857675974,0.126628156,0.01569587,0.857675974,0.140062131,0.002261895,0.804466123,0.190218125,0.005315752,0.857675974,0.140183758,0.002140268,0.857675974,0.138969817,0.003354209,0.890804271,0.099051653,0.010144076,0.857675974,0.140774709,0.001549317,0.825625276,0.167779396,0.006595327,0.875480896,0.113257116,0.011261987,0.857675974,0.138634017,0.003690009,0.892611357,0.10110429,0.006284353,0.911417983,0.081798819,0.006783198,0.857675974,0.138842961,0.003481065,0.857675974,0.137197643,0.005126383,0.857675974,0.138553247,0.003770779
11,0.912590408,0.076519063,0.010890529,0.858848399,0.138946876,0.002204725,0.912590408,0.081815871,0.005593721,0.846446195,0.144186913,0.009366892,0.876653322,0.115639379,0.007707299,0.876653322,0.111188358,0.01215832,0.912590408,0.07431511,0.013094482,0.878298799,0.12018551,0.00151569,0.901780241,0.083636927,0.014582832,0.876653322,0.115235255,0.008111424,0.912590408,0.069529149,0.017880443,0.886479829,0.108363242,0.005156929,0.912590408,0.071597686,0.015811906,0.912590408,0.081241131,0.006168461,0.891976697,0.103482819,0.004540484,0.891976697,0.107903653,0.000119651,0.876653322,0.109836945,0.013509733,0.91269613,0.084841827,0.002462043,0.846079214,0.147259995,0.006660791,0.80458554,0.190030279,0.005384182,0.858848399,0.140133756,0.001017845,0.891976697,0.072015535,0.036007768,0.858848399,0.136644548,0.004507053,0.858848399,0.137611049,0.003540552,0.858848399,0.130483247,0.010668354,0.858848399,0.139197959,0.001953642,0.805638549,0.191075417,0.003286034,0.858848399,0.139301805,0.001849796,0.858848399,0.138271853,0.002879748,0.912590408,0.076842111,0.010567481,0.858848399,0.139808366,0.001343234,0.826797701,0.167974793,0.005227506,0.876653322,0.113773765,0.009572913,0.858848399,0.13798958,0.003162021,0.893783783,0.10008941,0.006126808,0.912590408,0.079730541,0.007679051,0.876653322,0.120283696,0.003062982,0.858848399,0.136795883,0.004355718,0.858848399,0.137921861,0.00322974
12,0.916829636,0.070649584,0.01252078,0.863087627,0.1349429,0.001969473,0.916829636,0.076611172,0.006559192,0.850685423,0.139857999,0.009456578,0.896215924,0.096498933,0.007285143,0.896215924,0.093138847,0.010645228,0.916829636,0.068444281,0.014726083,0.897861402,0.100958412,0.001180186,0.921342844,0.063598264,0.015058893,0.896215924,0.096143057,0.007641019,0.916829636,0.06318023,0.019990134,0.890719057,0.104828845,0.004452098,0.916829636,0.065596255,0.017574109,0.916829636,0.075980932,0.007189432,0.896215924,0.099196105,0.004587971,0.896215924,0.103660899,0.000123177,0.896215924,0.092701456,0.01108262,0.916935357,0.080864582,0.002200061,0.850318442,0.144234998,0.00544656,0.808824767,0.186895155,0.004280078,0.880892549,0.118167539,0.000939912,0.916829636,0.055446909,0.027723455,0.863087627,0.132952501,0.003959872,0.863087627,0.133778909,0.003133464,0.863087627,0.129430522,0.007481851,0.880892549,0.117314386,0.001793065,0.809877776,0.188014199,0.002108025,0.880892549,0.117408517,0.001698934,0.863087627,0.134351716,0.002560657,0.916829636,0.07112145,0.012048915,0.880892549,0.117869652,0.001237799,0.831036929,0.164670579,0.004292492,0.880892549,0.110704882,0.008402569,0.863087627,0.134106294,0.00280608,0.913346385,0.080194078,0.006459536,0.916829636,0.074235372,0.008934992,0.880892549,0.116261756,0.002845695,0.863087627,0.133080959,0.003831414,0.863087627,0.134047577,0.002864796
13,0.917460445,0.067811928,0.014727626,0.881523359,0.116626147,0.001850494,0.917460445,0.074650483,0.007889071,0.851316233,0.138910601,0.009773166,0.896846734,0.095852443,0.007300823,0.896846734,0.093310651,0.009842615,0.917460445,0.065617482,0.016922072,0.898492211,0.100530679,0.000977109,0.921973653,0.061593252,0.016433095,0.896846734,0.095523699,0.007629567,0.917460445,0.059747702,0.022791853,0.891349867,0.104714814,0.003935319,0.917460445,0.062605707,0.019933848,0.917460445,0.073947866,0.008591689,0.917460445,0.077365665,0.005173889,0.917460445,0.082397596,0.000141959,0.917460445,0.072228747,0.010310807,0.938179879,0.059627562,0.00219256,0.850949251,0.144496892,0.004553857,0.809455577,0.187063774,0.003480649,0.881523359,0.117568327,0.000908314,0.917460445,0.05502637,0.027513185,0.863718436,0.132717234,0.003564329,0.863718436,0.133439299,0.002842264,0.863718436,0.130941093,0.005340471,0.881523359,0.116755186,0.001721456,0.810508586,0.188112412,0.001379002,0.881523359,0.116844342,0.001632299,0.863718436,0.133947279,0.002334285,0.917460445,0.068484577,0.014054978,0.881523359,0.117283136,0.001193505,0.831667739,0.164724733,0.003607529,0.881523359,0.11093636,0.007540281,0.863718436,0.133728922,0.002552641,0.913977195,0.078796318,0.007226487,0.917460445,0.071886735,0.01065282,0.881523359,0.115765632,0.00271101,0.863718436,0.132828578,0.003452985,0.863718436,0.133676837,0.002604726
14,0.919578083,0.059795612,0.020626305,0.883640996,0.114223749,0.002135254,0.919578083,0.069065975,0.011355942,0.868757245,0.11859158,0.012651175,0.919578083,0.070927743,0.009494174,0.919578083,0.068786052,0.011635865,0.919578083,0.057344632,0.023077285,0.921223561,0.077719995,0.001056445,0.944705002,0.032176126,0.023118872,0.919578083,0.070543843,0.009878074,0.919578083,0.049680718,0.030741199,0.908790879,0.086844828,0.004364293,0.919578083,0.05365689,0.026765027,0.919578083,0.068145593,0.012276324,0.919578083,0.07298344,0.007438477,0.919578083,0.080212321,0.000209596,0.919578083,0.068514523,0.011907394,0.940297516,0.056905081,0.002797402,0.868390264,0.12686215,0.004747586,0.811573214,0.185038729,0.003388057,0.883640996,0.115300714,0.00105829,0.919578083,0.053614611,0.026807306,0.865836074,0.130309319,0.003854607,0.865836074,0.131062723,0.003101203,0.865836074,0.129718518,0.004445408,0.883640996,0.114368564,0.00199044,0.830431146,0.168479977,0.001088877,0.883640996,0.114470018,0.001888986,0.865836074,0.131602246,0.00256168,0.919578083,0.060912112,0.019509805,0.883640996,0.114972063,0.00138694,0.833785376,0.162580199,0.003634425,0.898964371,0.092598665,0.008436964,0.865836074,0.131369432,0.002794494,0.916094832,0.074223307,0.009681861,0.919578083,0.065252781,0.015169136,0.898964371,0.097779836,0.003255792,0.865836074,0.130424378,0.003739548,0.865836074,0.131314096,0.00284983
15,0.920198596,0.050015599,0.029785805,0.899584884,0.097710555,0.002704561,0.920198596,0.06288609,0.016915314,0.88999147,0.090937092,0.019071439,0.920198596,0.06622084,0.013580565,0.920198596,0.064696901,0.015104504,0.920198596,0.047373646,0.032427758,0.921844073,0.076881631,0.001274295,0.945325515,0.019298654,0.035375831,0.920198596,0.065736508,0.014064896,0.920198596,0.037207662,0.042593742,0.930025103,0.064286475,0.005688422,0.920198596,0.042821365,0.036980039,0.920198596,0.061655214,0.01814619,0.920198596,0.068716186,0.011085218,0.920198596,0.079479726,0.000321679,0.920198596,0.065546471,0.014254933,0.940918029,0.055360359,0.003721612,0.889624488,0.104570906,0.005804605,0.812193727,0.184340102,0.003466171,0.899584884,0.099060757,0.001354359,0.920198596,0.053200936,0.026600468,0.866456587,0.129173431,0.004369983,0.866456587,0.129995389,0.003548025,0.866456587,0.12966641,0.003877003,0.899584884,0.097888537,0.002526579,0.846375034,0.152663511,0.000961455,0.899584884,0.098015102,0.002400013,0.866456587,0.130595232,0.002948181,0.920198596,0.05186131,0.027940094,0.899584884,0.098645122,0.001769993,0.834405889,0.161748769,0.003845342,0.920198596,0.068768263,0.011033141,0.866456587,0.130335332,0.003208081,0.937329057,0.048027365,0.014643579,0.920198596,0.05748275,0.022318654,0.920198596,0.075203426,0.004597978,0.866456587,0.129297658,0.004245756,0.866456587,0.130273789,0.003269624
16,0.921555006,0.04181255,0.036632444,0.921555006,0.075149618,0.003295376,0.921555006,0.05693692,0.021508074,0.89134788,0.082720025,0.025932095,0.921555006,0.061790347,0.016654647,0.921555006,0.061517505,0.016927489,0.921555006,0.039590319,0.038854674,0.923200484,0.075480604,0.001318913,0.946681925,0.007210032,0.046108042,0.921555006,0.061272429,0.017172565,0.921555006,0.028249067,0.050195926,0.931381514,0.061882678,0.006735809,0.921555006,0.034890161,0.043554833,0.921555006,0.055545335,0.022899659,0.921555006,0.064313433,0.014131561,0.921555006,0.078021917,0.000423077,0.921555006,0.063614889,0.014830105,0.942274439,0.053482752,0.004242808,0.890980898,0.102551286,0.006467815,0.83135506,0.165526631,0.003118309,0.921555006,0.07677722,0.001667773,0.921555006,0.052296663,0.026148331,0.88561792,0.110036099,0.004345981,0.88561792,0.110822777,0.003559304,0.88561792,0.111357663,0.003024417,0.921555006,0.075359781,0.003085213,0.868345156,0.130834461,0.000820383,0.921555006,0.075511548,0.002933446,0.88561792,0.111407726,0.002974355,0.921555006,0.044321851,0.034123143,0.921555006,0.076271687,0.002173307,0.853567222,0.142858689,0.003574089,0.921555006,0.065335194,0.013109799,0.88561792,0.111153261,0.003228819,0.938685467,0.041321256,0.019993277,0.921555006,0.050442844,0.02800215,0.921555006,0.072559856,0.005885138,0.88561792,0.110153756,0.004228325,0.88561792,0.111093228,0.003288852
